0000000061b01420 <_DllMainCRTStartup>:
    61b01420:	41 57                	push   r15
    61b01422:	41 56                	push   r14
    61b01424:	41 55                	push   r13
    61b01426:	41 54                	push   r12
    61b01428:	56                   	push   rsi
    61b01429:	57                   	push   rdi
    61b0142a:	55                   	push   rbp
    61b0142b:	53                   	push   rbx
    61b0142c:	48 81 ec c8 05 00 00 	sub    rsp,0x5c8
    61b01433:	65 48 8b 1c 25 38 00 	mov    rbx,QWORD PTR gs:0x38
    61b0143a:	00 00 
    61b0143c:	48 8b 5b 04          	mov    rbx,QWORD PTR [rbx+0x4]
    61b01440:	48 81 e3 00 f0 ff ff 	and    rbx,0xfffffffffffff000
    61b01447:	66 81 3b 4d 5a       	cmp    WORD PTR [rbx],0x5a4d
    61b0144c:	48 8d 9b 00 f0 ff ff 	lea    rbx,[rbx-0x1000]
    61b01453:	75 f2                	jne    61b01447 <_DllMainCRTStartup+0x27>
    61b01455:	48 81 c3 00 10 00 00 	add    rbx,0x1000
    61b0145c:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01463:	00 
    61b01464:	48 89 f1             	mov    rcx,rsi
    61b01467:	48 89 da             	mov    rdx,rbx
    61b0146a:	41 b8 75 2e df 49    	mov    r8d,0x49df2e75
    61b01470:	e8 28 0c 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01475:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01478:	0f 84 57 03 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b0147e:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01485:	00 
    61b01486:	48 8b 6e 08          	mov    rbp,QWORD PTR [rsi+0x8]
    61b0148a:	ba 80 00 00 00       	mov    edx,0x80
    61b0148f:	31 c9                	xor    ecx,ecx
    61b01491:	ff d5                	call   rbp
    61b01493:	48 89 c7             	mov    rdi,rax
    61b01496:	ba 48 00 00 00       	mov    edx,0x48
    61b0149b:	31 c9                	xor    ecx,ecx
    61b0149d:	ff d5                	call   rbp
    61b0149f:	49 89 c4             	mov    r12,rax
    61b014a2:	48 89 2f             	mov    QWORD PTR [rdi],rbp
    61b014a5:	48 89 f1             	mov    rcx,rsi
    61b014a8:	48 89 da             	mov    rdx,rbx
    61b014ab:	41 b8 7c 24 98 a1    	mov    r8d,0xa198247c
    61b014b1:	e8 e7 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b014b6:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b014b9:	0f 84 16 03 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b014bf:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b014c6:	00 
    61b014c7:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b014cb:	48 89 47 08          	mov    QWORD PTR [rdi+0x8],rax
    61b014cf:	48 89 f1             	mov    rcx,rsi
    61b014d2:	48 89 da             	mov    rdx,rbx
    61b014d5:	41 b8 79 74 fe 3f    	mov    r8d,0x3ffe7479
    61b014db:	e8 bd 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b014e0:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b014e3:	0f 84 ec 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b014e9:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b014f0:	00 
    61b014f1:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b014f5:	48 89 47 20          	mov    QWORD PTR [rdi+0x20],rax
    61b014f9:	48 89 f1             	mov    rcx,rsi
    61b014fc:	48 89 da             	mov    rdx,rbx
    61b014ff:	41 b8 77 f8 26 8a    	mov    r8d,0x8a26f877
    61b01505:	e8 93 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b0150a:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b0150d:	0f 84 c2 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01513:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b0151a:	00 
    61b0151b:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0151f:	48 89 47 28          	mov    QWORD PTR [rdi+0x28],rax
    61b01523:	48 89 f1             	mov    rcx,rsi
    61b01526:	48 89 da             	mov    rdx,rbx
    61b01529:	41 b8 47 18 b2 77    	mov    r8d,0x77b21847
    61b0152f:	e8 69 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01534:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01537:	0f 84 98 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b0153d:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01544:	00 
    61b01545:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01549:	48 89 47 30          	mov    QWORD PTR [rdi+0x30],rax
    61b0154d:	48 89 f1             	mov    rcx,rsi
    61b01550:	48 89 da             	mov    rdx,rbx
    61b01553:	41 b8 db 36 a0 46    	mov    r8d,0x46a036db
    61b01559:	e8 3f 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b0155e:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b01561:	0f 84 6e 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01567:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b0156e:	00 
    61b0156f:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b01573:	48 89 47 38          	mov    QWORD PTR [rdi+0x38],rax
    61b01577:	48 89 f1             	mov    rcx,rsi
    61b0157a:	48 89 da             	mov    rdx,rbx
    61b0157d:	41 b8 21 4d a6 3c    	mov    r8d,0x3ca64d21
    61b01583:	e8 15 0b 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b01588:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b0158b:	0f 84 44 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b01591:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b01598:	00 
    61b01599:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b0159d:	48 89 47 40          	mov    QWORD PTR [rdi+0x40],rax
    61b015a1:	48 89 f1             	mov    rcx,rsi
    61b015a4:	48 89 da             	mov    rdx,rbx
    61b015a7:	41 b8 9c 98 82 96    	mov    r8d,0x9682989c
    61b015ad:	e8 eb 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b015b2:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b015b5:	0f 84 1a 02 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b015bb:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b015c2:	00 
    61b015c3:	48 8b 46 08          	mov    rax,QWORD PTR [rsi+0x8]
    61b015c7:	48 89 47 48          	mov    QWORD PTR [rdi+0x48],rax
    61b015cb:	48 89 f1             	mov    rcx,rsi
    61b015ce:	48 89 da             	mov    rdx,rbx
    61b015d1:	41 b8 41 ee 35 2d    	mov    r8d,0x2d35ee41
    61b015d7:	e8 c1 0a 00 00       	call   61b0209d <_ZN8resolver16get_proc_address17hc0e35b28d69f1d2fE>
    61b015dc:	83 3e 01             	cmp    DWORD PTR [rsi],0x1
    61b015df:	0f 84 f0 01 00 00    	je     61b017d5 <_DllMainCRTStartup+0x3b5>
    61b015e5:	48 8d b4 24 c8 01 00 	lea    rsi,[rsp+0x1c8]
    61b015ec:	00 
